user_id,seq_d1,seq_d2,domain_id,also_view,also_view_d1,also_view_d2
8394,"[17521, 35047]",[],0,[],[],[]
6259,"[25845, 12550, 13403]",[],0,[],[],[]
83612,[],"[29366, 27391, 30891]",1,[],[],[]
87750,[],"[12786, 15120, 19743, 11585, 34799, 30547]",1,"[1460, 36644, 8048, 35879, 6508, 6811, 29788, 26248, 20749, 30922, 29118, 18269, 20585, 25211, 2686, 21981, 1985]",[],"[1460, 36644, 8048, 35879, 6508, 6811, 29788, 26248, 20749, 30922, 29118, 18269, 20585, 25211, 2686, 21981, 1985]"
13291,"[1399, 30206, 34421]",[],0,[],[],[]
14025,"[11720, 36563, 5170, 3949, 34780, 28817, 10641]",[],0,[],[],[]
15418,"[8325, 37308, 10514]",[],0,[],[],[]
18732,"[35452, 33921, 31797, 3590, 23025, 27636]",[],0,"[5193, 37443]","[5193, 37443]",[]
21726,[],"[1223, 33656, 17310, 17894, 13418, 7783, 27314, 5087]",1,"[19403, 28259, 34064, 17869, 3034, 7187, 1373, 21815, 27515, 23702, 27633, 3517, 18448, 5132, 13153, 35076, 5767, 28142, 36879, 18938, 4882, 37316, 22295, 34375]",[],"[19403, 28259, 34064, 17869, 3034, 7187, 1373, 21815, 27515, 23702, 27633, 3517, 18448, 5132, 13153, 35076, 5767, 28142, 36879, 18938, 4882, 37316, 22295, 34375]"
45168,[],"[21621, 17463, 11194, 16450, 3466]",1,[],[],[]
60907,[],"[20341, 31737, 16895, 34422]",1,"[18012, 24477, 24928, 31275, 27841, 21486, 31314, 3689, 10841, 20463, 17043, 33553, 9932, 7126, 29507, 8531, 34886, 10811, 3202, 32756, 23460, 2916, 24589, 33333]",[],"[18012, 24477, 24928, 31275, 27841, 21486, 31314, 3689, 10841, 20463, 17043, 33553, 9932, 7126, 29507, 8531, 34886, 10811, 3202, 32756, 23460, 2916, 24589, 33333]"
17853,"[28805, 23565, 12390, 14854]",[],0,"[27437, 32870, 29056, 23565, 24081, 30541, 26090, 22570, 37098, 34497, 4411, 35392]","[27437, 32870, 29056, 23565, 24081, 30541, 26090, 22570, 37098, 34497, 4411, 35392]",[]
15871,"[29186, 23314, 17318, 11312]",[],0,[],[],[]
17031,"[34821, 26211, 7960, 12805, 37394]",[],0,[],[],[]
19807,[],"[23290, 20507, 23960, 10990]",1,[],[],[]
42678,[],"[32085, 7607, 5335, 14926, 30894, 26770, 7138]",1,[],[],[]
